"DRUGA","DRUGB","WEIGHT"
"1907","5458","1"
"1672","12753","1"
"1672","12754","1"
"1672","12755","1"
"1865","6776","1"
"3358","26043","1"
"1811","8472","1"
"1997","2710","1"
"1795","8977","1"
"1999","2659","1"
"1949","4210","1"
"1145","29139","1"
"8159","8316","1"
"3848","10901","1"
"4037","5043","1"
"1999","2688","1"
"948","35282","1"
"840","38639","1"
"1996","2808","1"
"16293","18355","1"
"1068","31590","1"
"1996","2827","1"
"1985","3170","1"
"1501","18192","1"
"1831","7965","1"
"842","38639","1"
"1831","7997","1"
"1918","5308","1"
"4052","4693","1"
"1990","3079","1"
"1907","5666","1"
"2797","43627","1"
"7316","34617","1"
"34688","38075","1"
"5916","12511","1"
"1745","10750","1"
"4069","4243","1"
"1977","3567","1"
"2011","2517","1"
"1907","5743","1"
"1907","5744","1"
"40939","40940","1"
"1223","26959","1"
"1863","7125","1"
"808","39833","1"
"1935","4898","1"
"1976","3627","1"
"2016","2391","1"
"1745","10796","1"
"1939","4783","1"
"896","37125","1"
"1804","8977","1"
"1977","3627","4"
"1944","4654","1"
"979","34580","1"
"7850","18192","1"
"1985","3407","1"
"2029","2044","1"
"10222","10223","1"
"10222","10224","1"
"1996","3088","1"
"1974","3772","1"
"5655","20736","1"
"5655","20737","1"
"5655","20738","1"
"5655","20739","1"
"5655","20740","1"
"5655","20741","1"
"5655","20742","1"
"5655","20743","1"
"5655","20744","1"
"3873","10450","1"
"3873","10449","1"
"1820","8566","1"
"2964","38639","1"
"1145","29493","1"
"1145","29494","1"
"990","34300","1"
"10223","10224","1"
"18415","18416","1"
"1939","4890","1"
"1728","11442","1"
"5779","16948","1"
"5779","16949","1"
"5779","16950","1"
"1865","7221","1"
"1944","4784","1"
"1944","4785","1"
"1419","21061","1"
"1944","4786","1"
"1944","4787","1"
"3804","12678","1"
"9189","42351","1"
"1999","3106","1"
"1622","14796","1"
"1878","6863","1"
"829","39404","1"
"2000","3113","1"
"1884","6717","1"
"1805","9176","1"
"1805","9177","1"
"1645","14147","1"
"962","35324","1"
"962","35325","1"
"962","35326","1"
"1568","16544","1"
"1568","16545","1"
"1568","16546","1"
"1932","5266","1"
"1804","9243","1"
"1882","6827","2"
"1853","7730","1"
"5614","22217","1"
"1813","8977","1"
"1896","6405","1"
"1915","5824","1"
"3854","11254","1"
"9580","30364","1"
"1783","9931","1"
"1364","22922","1"
"1853","7770","1"
"1919","5730","1"
"20077","32661","1"
"3982","7336","1"
"8183","8188","1"
"6047","8868","1"
"13850","29143","1"
"28664","28665","1"
"1880","7007","1"
"1932","5403","1"
"6065","8360","1"
"1811","9166","1"
"4090","4091","1"
"4090","4092","1"
"4090","4093","1"
"4090","4094","1"
"1728","11781","1"
"4090","4095","1"
"4090","4096","1"
"4090","4097","1"
"1853","7911","1"
"1795","9711","1"
"1997","3449","1"
"14249","16854","1"
"1985","3824","2"
"3501","22364","1"
"3875","10781","1"
"3875","10782","1"
"10100","14416","1"
"4091","4092","1"
"4091","4093","1"
"4091","4094","1"
"4091","4095","1"
"4091","4096","1"
"4091","4097","1"
"4057","5160","1"
"1820","8977","1"
"1919","5910","1"
"1745","11312","1"
